id,name,iso_code,created_by,last_modified_by
240,Åland Islands,ALA,system,system
1,Afghanistan,AFG,system,system
2,Albania,ALB,system,system
3,Algeria,DZA,system,system
4,American Samoa,ASM,system,system
5,Andorra,AND,system,system
6,Angola,AGO,system,system
7,Anguilla,AIA,system,system
8,Antarctica,ATA,system,system
9,Antigua and Barbuda,ATG,system,system
10,Argentina,ARG,system,system
11,Armenia,ARM,system,system
12,Aruba,ABW,system,system
13,Australia,AUS,system,system
14,Austria,AUT,system,system
15,Azerbaijan,AZE,system,system
16,Bahamas,BHS,system,system
17,Bahrain,BHR,system,system
18,Bangladesh,BGD,system,system
19,Barbados,BRB,system,system
20,Belarus,BLR,system,system
21,Belgium,BEL,system,system
22,Belize,BLZ,system,system
23,Benin,BEN,system,system
24,Bermuda,BMU,system,system
25,Bhutan,BTN,system,system
26,Bolivia,BOL,system,system
27,Bosnia and Herzegowina,BIH,system,system
28,Botswana,BWA,system,system
29,Bouvet Island,BVT,system,system
30,Brazil,BRA,system,system
31,British Indian Ocean Territory,IOT,system,system
32,Brunei Darussalam,BRN,system,system
33,Bulgaria,BGR,system,system
34,Burkina Faso,BFA,system,system
35,Burundi,BDI,system,system
36,Cambodia,KHM,system,system
37,Cameroon,CMR,system,system
38,Canada,CAN,system,system
39,Cape Verde,CPV,system,system
40,Cayman Islands,CYM,system,system
41,Central African Republic,CAF,system,system
42,Chad,TCD,system,system
43,Chile,CHL,system,system
44,China,CHN,system,system
45,Christmas Island,CXR,system,system
46,Cocos (Keeling) Islands,CCK,system,system
47,Colombia,COL,system,system
48,Comoros,COM,system,system
49,Congo,COG,system,system
50,Cook Islands,COK,system,system
51,Costa Rica,CRI,system,system
52,Côte d'Ivoire,CIV,system,system
53,Croatia,HRV,system,system
54,Cuba,CUB,system,system
55,Cyprus,CYP,system,system
56,Czech Republic,CZE,system,system
57,Denmark,DNK,system,system
58,Djibouti,DJI,system,system
59,Dominica,DMA,system,system
60,Dominican Republic,DOM,system,system
61,Timor-Leste,TLS,system,system
62,Ecuador,ECU,system,system
63,Egypt,EGY,system,system
64,El Salvador,SLV,system,system
65,Equatorial Guinea,GNQ,system,system
66,Eritrea,ERI,system,system
67,Estonia,EST,system,system
68,Ethiopia,ETH,system,system
69,Falkland Islands (Malvinas),FLK,system,system
70,Faroe Islands,FRO,system,system
71,Fiji,FJI,system,system
72,Finland,FIN,system,system
73,France,FRA,system,system
75,French Guiana,GUF,system,system
76,French Polynesia,PYF,system,system
77,French Southern Territories,ATF,system,system
78,Gabon,GAB,system,system
79,Gambia,GMB,system,system
80,Georgia,GEO,system,system
81,Germany,DEU,system,system
82,Ghana,GHA,system,system
83,Gibraltar,GIB,system,system
84,Greece,GRC,system,system
85,Greenland,GRL,system,system
86,Grenada,GRD,system,system
87,Guadeloupe,GLP,system,system
88,Guam,GUM,system,system
89,Guatemala,GTM,system,system
90,Guinea,GIN,system,system
91,Guinea-bissau,GNB,system,system
92,Guyana,GUY,system,system
93,Haiti,HTI,system,system
94,Heard and Mc Donald Islands,HMD,system,system
95,Honduras,HND,system,system
96,Hong Kong,HKG,system,system
97,Hungary,HUN,system,system
98,Iceland,ISL,system,system
99,India,IND,system,system
100,Indonesia,IDN,system,system
101,Iran (Islamic Republic of),IRN,system,system
102,Iraq,IRQ,system,system
103,Ireland,IRL,system,system
104,Israel,ISR,system,system
105,Italy,ITA,system,system
106,Jamaica,JAM,system,system
107,Japan,JPN,system,system
108,Jordan,JOR,system,system
109,Kazakhstan,KAZ,system,system
110,Kenya,KEN,system,system
111,Kiribati,KIR,system,system
112,"Korea, Democratic People's Republic of",PRK,system,system
113,"Korea, Republic of",KOR,system,system
114,Kuwait,KWT,system,system
115,Kyrgyzstan,KGZ,system,system
116,Lao People's Democratic Republic,LAO,system,system
117,Latvia,LVA,system,system
118,Lebanon,LBN,system,system
119,Lesotho,LSO,system,system
120,Liberia,LBR,system,system
121,Libya,LBY,system,system
122,Liechtenstein,LIE,system,system
123,Lithuania,LTU,system,system
124,Luxembourg,LUX,system,system
125,Macao,MAC,system,system
126,"Macedonia, The Former Yugoslav Republic of",MKD,system,system
